metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (All) (mm),LH1T-64,2343,2024-02-02 01:06:52,0.561,0.55977,0.45949,0.65927
Anode Overhang (Top) (mm),LH1T-64,2343,2024-02-02 01:06:52,0.547,0.54145,0.46037,0.64044
Anode Overhang (Bottom) (mm),LH1T-64,2343,2024-02-02 01:06:52,0.576,0.57423,0.45949,0.65927
Anode Overhang (All) (mm),LH1T-65,2344,2024-02-02 01:16:04,0.565,0.57400,0.37720,0.75600
Anode Overhang (Top) (mm),LH1T-65,2344,2024-02-02 01:16:04,0.597,0.59607,0.45949,0.73873
Anode Overhang (Bottom) (mm),LH1T-65,2344,2024-02-02 01:16:04,0.533,0.53395,0.37720,0.75600
Anode Overhang (All) (mm),LH1T-66,2345,2024-02-02 01:25:25,0.563,0.55856,0.41000,0.72235
Anode Overhang (Top) (mm),LH1T-66,2345,2024-02-02 01:25:25,0.569,0.56145,0.42766,0.70596
Anode Overhang (Bottom) (mm),LH1T-66,2345,2024-02-02 01:25:25,0.557,0.55856,0.41000,0.72235
Anode Overhang (All) (mm),LH1T-67,2346,2024-02-02 01:34:37,0.560,0.55760,0.42640,0.69366
Anode Overhang (Top) (mm),LH1T-67,2346,2024-02-02 01:34:37,0.582,0.58537,0.44280,0.68958
Anode Overhang (Bottom) (mm),LH1T-67,2346,2024-02-02 01:34:37,0.538,0.53117,0.42640,0.69366
Anode Overhang (All) (mm),LH1T-68,2347,2024-02-02 01:43:56,0.565,0.55784,0.36080,0.77097
Anode Overhang (Top) (mm),LH1T-68,2347,2024-02-02 01:43:56,0.608,0.62320,0.45920,0.77097
Anode Overhang (Bottom) (mm),LH1T-68,2347,2024-02-02 01:43:56,0.522,0.51497,0.36080,0.77097
Anode Overhang (All) (mm),LH1T-69,2348,2024-02-02 01:53:14,0.559,0.55784,0.37720,0.75511
Anode Overhang (Top) (mm),LH1T-69,2348,2024-02-02 01:53:14,0.551,0.54516,0.37720,0.70596
Anode Overhang (Bottom) (mm),LH1T-69,2348,2024-02-02 01:53:14,0.567,0.55977,0.42164,0.75511
Anode Overhang (All) (mm),LH1T-70,2349,2024-02-02 02:02:29,0.559,0.56622,0.39394,0.74091
Anode Overhang (Top) (mm),LH1T-70,2349,2024-02-02 02:02:29,0.515,0.50840,0.39394,0.65682
Anode Overhang (Bottom) (mm),LH1T-70,2349,2024-02-02 02:02:29,0.604,0.60702,0.44310,0.74091
