metric,sn,scan_id,scan_processed_date,mean,median,min,max
Cathode Width (mm),LH1T-202,2535,2024-02-05 03:56:10,64.024,64.04217,63.87800,64.14045
Cathode Width (mm),LH1T-203,2536,2024-02-05 04:05:20,64.023,64.04202,63.87800,64.12410
Cathode Width (mm),LH1T-204,2537,2024-02-05 04:14:30,64.026,64.04205,63.84522,64.14061
Cathode Width (mm),LH1T-205,2538,2024-02-05 04:23:47,64.030,64.04208,63.87800,64.15690
Cathode Width (mm),LH1T-206,2539,2024-02-05 04:33:03,64.031,64.05840,63.89440,64.15683
Cathode Width (mm),LH1T-207,2540,2024-02-05 04:42:19,64.028,64.04201,63.86160,64.14057
Cathode Width (mm),LH1T-208,2541,2024-02-05 04:51:31,64.026,64.04201,63.87801,64.14045
Cathode Width (mm),LH1T-209,2542,2024-02-05 05:00:40,64.027,64.04203,63.87801,64.14045
Cathode Width (mm),LH1T-210,2543,2024-02-05 05:09:58,64.044,64.05840,63.86162,64.15680
Cathode Width (mm),LH1T-211,2544,2024-02-05 05:19:14,64.033,64.05840,63.86161,64.15682
Cathode Width (mm),LH1T-212,2545,2024-02-05 05:28:27,64.024,64.04201,63.87800,64.14045
Cathode Width (mm),LH1T-213,2546,2024-02-05 05:37:39,64.033,64.05840,63.87800,64.14048
Cathode Width (mm),LH1T-214,2547,2024-02-05 05:46:47,64.027,64.04202,63.84520,64.14042
Cathode Width (mm),LH1T-215,2548,2024-02-05 05:56:00,64.022,64.04200,63.86160,64.14048
Cathode Width (mm),LH1T-216,2549,2024-02-05 06:05:11,64.024,64.04200,63.86165,64.14050
Cathode Width (mm),LH1T-217,2550,2024-02-05 06:14:29,64.021,64.04201,63.84522,64.14057
Cathode Width (mm),LH1T-218,2551,2024-02-05 06:23:46,64.024,64.04202,63.89440,64.14045
Cathode Width (mm),LH1T-219,2552,2024-02-05 08:55:50,64.035,64.05840,63.84521,64.14053
Cathode Width (mm),LH1T-220,2553,2024-02-05 07:04:40,64.033,64.04213,63.87800,64.15680
Cathode Width (mm),LH1T-221,2554,2024-02-05 07:13:52,64.043,64.05843,63.87801,64.15688
Cathode Width (mm),LH1T-222,2555,2024-02-05 07:23:02,64.044,64.05841,63.89440,64.15690
Cathode Width (mm),LH1T-223,2556,2024-02-05 07:32:12,64.028,64.04210,63.86173,64.14050
Cathode Width (mm),LH1T-224,2557,2024-02-05 07:41:27,64.025,64.04201,63.86160,64.14053
Cathode Width (mm),LH1T-225,2558,2024-02-05 07:50:46,64.024,64.04200,63.86161,64.14048
Cathode Width (mm),LH1T-226,2559,2024-02-05 08:00:02,64.045,64.07480,63.87800,64.15688
Cathode Width (mm),LH1T-227,2560,2024-02-05 08:09:18,64.028,64.04200,63.86160,64.12413
Cathode Width (mm),LH1T-228,2561,2024-02-05 08:18:36,64.029,64.04213,63.87808,64.15681
Cathode Width (mm),LH1T-229,2562,2024-02-05 08:27:56,64.042,64.05841,63.87800,64.15682
Cathode Width (mm),LH1T-230,2563,2024-02-05 08:37:10,64.026,64.04205,63.86160,64.14042
Cathode Width (mm),LH1T-231,2564,2024-02-05 09:19:13,64.028,64.05840,63.86162,64.14041
Cathode Width (mm),LH1T-232,2565,2024-02-05 09:28:24,64.031,64.04202,63.89440,64.15690
Cathode Width (mm),LH1T-233,2566,2024-02-05 09:37:35,64.033,64.05840,63.86160,64.15683
Cathode Width (mm),LH1T-234,2567,2024-02-05 09:49:06,64.029,64.04208,63.86160,64.15681
Cathode Width (mm),LH1T-235,2568,2024-02-05 16:12:42,64.029,64.04205,63.84521,64.14045
Cathode Width (mm),LH1T-236,2569,2024-02-05 10:45:36,64.018,64.02565,63.84520,64.14042
Cathode Width (mm),LH1T-237,2570,2024-02-05 10:54:47,64.031,64.04210,63.87800,64.15688
Cathode Width (mm),LH1T-238,2571,2024-02-05 11:04:04,64.027,64.04208,63.86160,64.14050
Cathode Width (mm),LH1T-239,2572,2024-02-05 11:13:22,64.024,64.04200,63.86160,64.15681
